layer,global_auc,latex_auc,filled_auc,bare_auc,pw_cos_max,pw_cos_mean,decouples_at_threshold_0.11
0,0.7974,0.885,0.885,0.9065,0.1917,0.05790000000000001,False
4,0.818,0.9677,0.9498,0.9139,0.0765,0.025433333333333332,True
8,0.8571,0.9785,0.8763,0.9172,0.0828,0.031766666666666665,True
12,0.8155,0.9504,0.9347,0.912,0.1381,0.06516666666666666,False
16,0.8059,0.922,0.9476,0.9106,0.1805,0.04573333333333333,False
20,0.8265,0.928,0.9614,0.9173,0.2349,0.06873333333333333,False
24,0.8198,0.8921,0.9826,0.9122,0.1785,0.0484,False
28,0.8384,0.8996,0.9749,0.9115,0.1748,0.04286666666666667,False
32,0.7702,0.8781,0.9647,0.9033,0.1084,0.01783333333333333,True
35,0.7741,0.879,0.8828,0.9001,0.1104,0.046066666666666665,False
